Name,Type,Chapter,Episode,Year,Note,Number,Appears in
150,Filler,,,2018,,830,Whole Cake Island Arc
A A A,Movie,,,2003,,4,Dead End Adventure
A O,Canon,551.0,0460,2009,His name was revealed in the Green databook.,,
Abby,Game,,,2023,,,One Piece Odyssey
Abdullah,Canon,704.0,0632,2013,,,
Abi,Filler,,,2007,,317,Water 7 Arc
Absalom,Canon,444.0,0339,2007,,,
Accino,Filler,,,2007,,326,Ice Hunter Arc
Acilia,Canon,706.0,0652,2013,,,
Adele,Canon,608.0,0527,2010,Her name was revealed in the Blue Deep databook.,,
Adelle Bascùd,Movie,,,2003,,4,Dead End Adventure
Adio Suerte,Game,,,2023,,,One Piece Odyssey
Aegir,Canon,1134.0,,2024,His name was revealed in Chapter 1142.,,
Ageha Woman,Canon,959.0,0960,2019,Her name was revealed in the Vivre Card databook.,,
Aggie 68,Canon,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Agotogi,Canon,163.0,0100,2001,His name was revealed in the Blue databook.,,
Agray,Game,,,2023,,,One Piece Odyssey
Agsilly,Canon,570.0,0482,2010,His name was revealed in the Green databook.,,
Agyo,Canon,706.0,0652,2013,His name was revealed in Chapter 733.,,
Ahho Desunen IX,Canon,587.0,0501,2010,His name was revealed in the Blue Deep databook.,,
Ahho Zurako,Canon,587.0,0501,2010,Her name was revealed in the Blue Deep databook.,,
Ahiru,Canon,905.0,0883,2018,Her name was revealed in SBS Volume 93.,,
Ain,Movie,,,2012,,12,One Piece Film: Z
Aisa,Canon,249.0,0161,2002,,,
Akagami Yuki,Spin-Off,,,2014,,1,MiraBato Strongest Strategy: MiraBato GO!
Akehende,Canon,548.0,0451,2009,His name was revealed in Vivre Card.,,
Akibi,Filler,,,2003,,139,Ruluka Island Arc
Akihiro,Filler,,,2007,,318,Water 7 Arc
Akisu,Movie,,,2001,,2,Clockwork Island Adventure
Akudai Kanzaburo,Canon,926.0,0918,2018,His name was revealed in Vivre Card.,,
Akumai,Canon,129.0,0078,2000,His name was revealed in the Blue databook.,,
Aladine,Canon,620.0,0540,2011,His name was revealed in Chapter 623.,,
Alan,TV special,,,2003,,3,Protect! The Last Great Performance
Albert,Game,,,2019,,,One Piece: World Seeker
Albion,Canon,600.0,0519,2010,,,
Alice,Canon,487.0,Film: Red,2008,Her name was revealed in Chapter 1109.,,
All-Hunt Grount,Filler,,,2017,,780,Marine Rookie Arc
Ally,Canon,658.0,0583,2012,,,
Alpacacino,Filler,,,2012,,575,Z's Ambition Arc
Alpacaman,Canon,934.0,0929,2019,,,
Alpha,Canon,1100.0,,2023,,,
Alto,OVA,,,1998,,1,One Piece - Defeat Him! The Pirate Ganzack
Alvida,Canon,2.0,0001,1997,,,
Amadob,Canon,559.0,0467,2009,His name was revealed in the Green databook.,,
Amanda,TV special,,,2003,,2,"A Father's Huge, HUGE Dream"
Amazon,Canon,238.0,0153,2002,,,
Amity,Live Performance,,,2012,,,WANTED
An Zengaiina,Canon,528.0,0425,2009,His name was revealed in the Vivre Card databook.,,
Anba,Canon,969.0,0970,2020,His name was revealed in the Vivre Card databook.,,
And,Canon,379.0,0267,2005,His real name was revealed in the Vivre Card databook.,,
Andre,Canon,558.0,0479,2009,His name was revealed in the Green databook.,,
Ange,Canon,1131.0,,2024,Her name was revealed in Chapter 1134.,,
Anikin,Game,,,2023,,,One Piece Odyssey
Anjo,Canon,1.0,0400,1997,His name was revealed in the Blue databook.,,
Ankoro,Canon,606.0,0525,2010,,,
Ann,Live Attraction,,,2017,,3,One Piece Live Attraction: Phantom
Ann,Romance Dawn,,,1996,,2,"Romance Dawn, Version 2"
Anna,Game,,,2019,,,One Piece: World Seeker
Ant De Bonham,Filler,,,2017,,780,Marine Rookie Arc
Ante,Movie,,,2016,,13,One Piece Film: Gold
Antonio,TV special,,,2015,,9,Episode of Sabo
Antonio,Canon,497.0,0391,2008,His name is written on his restaurant.,,
Any,Movie,,,2016,,13,One Piece Film: Gold
Aoba Michiru,Spin-Off,,,2014,,1,MiraBato Strongest Strategy: MiraBato GO!
Aobire,Filler,,,2007,,317,Water 7 Arc
Aphelandra,Canon,514.0,0408,2008,,,
Apis,Filler,,,2001,,054,Warship Island Arc
Aramaki,Canon,905.0,0882,2018,"His alias, Ryokugyu, was first mentioned by Donquixote Doflamingo in Chapter 713. His real name was revealed in Chapter 1053.",,
Arba,Movie,,,2016,,13,One Piece Film: Gold
Arbell,Filler,,,2007,,326,Ice Hunter Arc
Ardel,Game,,,2023,,,One Piece Odyssey
Aremo Ganmi,Canon,707.0,0636,2013,Her name was revealed in SBS Volume 73.,,
Arista,Stage Show,,,2018,,,Tongari Pirates Wanted!
Arlong,Canon,69.0,0031,1999,,,
Arrow,Canon,196.0,0120,2001,His name was revealed in the Blue databook.,,
Arsel,Game,,,2023,,,One Piece Odyssey
Arthur,Canon,556.0,0472,2009,His name was revealed in the Green databook.,,
Artur Bacca,Novel,,,2019,,3,One Piece novel Law
Aruyutayan V,Canon,292.0,0189,2003,His name was revealed in Vivre Card.,,
Asahija,Canon,483.0,0375,2007,His name was revealed in the Blue Deep databook.,,
Asashichi,Canon,930.0,0924,2019,His name was revealed in Vivre Card.,,
Ashura Doji,Canon,920.0,0910,2018,"He was first mentioned as ""Shutenmaru"" by Holed'em in Chapter 916.",,
Aswa,Canon,163.0,0100,2001,Her name was revealed in the Blue databook.,,
Atago Niina,Spin-Off,,,2018,,15,One Piece in Love
Atagoyama,Canon,915.0,0902,2018,His name was revealed in Vivre Card.,,
Atlas,Canon,1062.0,1091,2022,,,
Atmos,Canon,553.0,0461,2009,,,
Atoli,Game,,,2001,,,Legend of the Rainbow Island
Atori,Novel,,,2021,,6,One Piece novel HEROINES
Attach,Canon,436.0,0139,2006,His name was revealed in SBS Volume 24.,,
Aunt,Filler,,,2007,,318,Water 7 Arc
Avalo Pizarro,Canon,575.0,0484,2010,His name was revealed by the Marines in Chapter 576.,,
Aveyron,Filler,,,2016,,747,Silver Mine Arc
Ayako,Filler,,,2007,,318,Water 7 Arc
Ayesé Mar,Canon,,,2023,Joke character. They were first mentioned in SBS Volume 105.,,
Azuki,Canon,940.0,0936,2019,Her name was revealed in Vivre Card.,,
Babanuki,Canon,934.0,0930,2019,His name was revealed in Chapter 935.,,
