ID,Name,Type,Wiki,Chapter,Episode,Year,Note,Number,Appears in
150,150,Filler,https://onepiece.fandom.com/wiki/150,,,2018,,830,Whole Cake Island Arc
A_A_A,A A A,Movie,https://onepiece.fandom.com/wiki/A_A_A,,,2003,,4,Dead End Adventure
A_O,A O,Canon,https://onepiece.fandom.com/wiki/A_O,551.0,0460,2009,His name was revealed in the Green databook.,,
Abby,Abby,Game,https://onepiece.fandom.com/wiki/Abby,,,2023,,,One Piece Odyssey
Abdullah,Abdullah,Canon,https://onepiece.fandom.com/wiki/Abdullah,704.0,0632,2013,,,
Abi,Abi,Filler,https://onepiece.fandom.com/wiki/Abi,,,2007,,317,Water 7 Arc
Absalom,Absalom,Canon,https://onepiece.fandom.com/wiki/Absalom,444.0,0339,2007,,,
Accino,Accino,Filler,https://onepiece.fandom.com/wiki/Accino,,,2007,,326,Ice Hunter Arc
Acilia,Acilia,Canon,https://onepiece.fandom.com/wiki/Acilia,706.0,0652,2013,,,
Adele,Adele,Canon,https://onepiece.fandom.com/wiki/Adele,608.0,0527,2010,Her name was revealed in the Blue Deep databook.,,
Adelle_Basc%C3%B9d,Adelle Bascùd,Movie,https://onepiece.fandom.com/wiki/Adelle_Basc%C3%B9d,,,2003,,4,Dead End Adventure
Adio_Suerte,Adio Suerte,Game,https://onepiece.fandom.com/wiki/Adio_Suerte,,,2023,,,One Piece Odyssey
Aegir,Aegir,Canon,https://onepiece.fandom.com/wiki/Aegir,1134.0,,2024,His name was revealed in Chapter 1142.,,
Ageha_Woman,Ageha Woman,Canon,https://onepiece.fandom.com/wiki/Ageha_Woman,959.0,0960,2019,Her name was revealed in the Vivre Card databook.,,
Aggie_68,Aggie 68,Canon,https://onepiece.fandom.com/wiki/Aggie_68,552.0,0461,2009,His name was revealed in One Piece Magazine Vol.2.,,
Agotogi,Agotogi,Canon,https://onepiece.fandom.com/wiki/Agotogi,163.0,0100,2001,His name was revealed in the Blue databook.,,
Agray,Agray,Game,https://onepiece.fandom.com/wiki/Agray,,,2023,,,One Piece Odyssey
Agsilly,Agsilly,Canon,https://onepiece.fandom.com/wiki/Agsilly,570.0,0482,2010,His name was revealed in the Green databook.,,
Agyo,Agyo,Canon,https://onepiece.fandom.com/wiki/Agyo,706.0,0652,2013,His name was revealed in Chapter 733.,,
Ahho_Desunen_IX,Ahho Desunen IX,Canon,https://onepiece.fandom.com/wiki/Ahho_Desunen_IX,587.0,0501,2010,His name was revealed in the Blue Deep databook.,,
Ahho_Zurako,Ahho Zurako,Canon,https://onepiece.fandom.com/wiki/Ahho_Zurako,587.0,0501,2010,Her name was revealed in the Blue Deep databook.,,
Ahiru,Ahiru,Canon,https://onepiece.fandom.com/wiki/Ahiru,905.0,0883,2018,Her name was revealed in SBS Volume 93.,,
Ain,Ain,Movie,https://onepiece.fandom.com/wiki/Ain,,,2012,,12,One Piece Film: Z
Aisa,Aisa,Canon,https://onepiece.fandom.com/wiki/Aisa,249.0,0161,2002,,,
Akagami_Yuki,Akagami Yuki,Spin-Off,https://onepiece.fandom.com/wiki/Akagami_Yuki,,,2014,,1,MiraBato Strongest Strategy: MiraBato GO!
Akehende,Akehende,Canon,https://onepiece.fandom.com/wiki/Akehende,548.0,0451,2009,His name was revealed in Vivre Card.,,
